datetime,open,high,low,volume,close
2020-10-15 03:00:00,-0.9728290699785975,-0.9173008768216816,-1.010010371096421,0.43098897802098196,47.099
2020-10-15 04:00:00,-1.0060808007549416,-1.0012731257158989,-1.01218226907026,-0.36883182047607005,47.486
2020-10-15 05:00:00,-1.003533010628529,-0.9874090680222486,-1.0022958517699891,-0.26945365773459634,49.0
2020-10-15 06:00:00,-0.9914770519279436,-0.989303064974933,-0.993094477558241,-0.6129422682703459,49.031
2020-10-15 07:00:00,-0.9903259419310703,-0.9914849494644257,-0.993094477558241,-0.4845639238602841,49.0
2020-10-15 08:00:00,-0.9922367845258797,-0.98968186436547,-0.9978430716945915,-0.6069727360186777,48.654
2020-10-15 09:00:00,-0.9960354475155614,-0.9957426546140601,-1.0158955139932748,-0.20837266551683312,46.121
2020-10-15 10:00:00,-1.0129644385362433,-1.008083938757752,-1.024980119496752,-0.011493778118599881,44.668
2020-10-15 11:00:00,-1.0250203972368288,-1.0152432472388992,-1.0259298383240223,-0.20697586214935365,45.871
2020-10-15 12:00:00,-1.0154892064627186,-0.9969851166150212,-1.014969148907659,-0.19828528070052637,47.246
2020-10-15 13:00:00,-1.0049373648247142,-1.0002579433492598,-1.0106720604432893,-0.13226924367509968,47.047
2020-10-15 14:00:00,-1.0069556443525651,-1.00631873359785,-1.009519942521683,-0.569420105847087,47.0
2020-10-15 15:00:00,-1.0052826978237763,-1.0005079509470143,-1.0064061103011253,-0.5643858015728883,47.297
2020-10-15 16:00:00,-1.0045459874257774,-1.0059550861829347,-1.0130230037698105,-0.582827304665337,46.088
2020-10-15 17:00:00,-1.0138469562005128,-1.0006367427397969,-1.0142763212385848,-0.6041866775321243,46.484
2020-10-15 18:00:00,-1.0107773295421845,-1.0070536044154919,-1.0108744595376256,-0.6704155751625924,46.976
2020-10-15 19:00:00,-1.007009362819086,-1.0006594707032288,-1.006125865401275,-0.6672763530037562,47.462
2020-10-15 20:00:00,-1.0028346705637592,-1.0013791895452493,-1.0104618767684017,-0.6352541357328306,47.104
2020-10-15 21:00:00,-1.0054054828901093,-1.0044247366451657,-1.015957790637686,-0.5561106568456912,46.026
2020-10-15 22:00:00,-1.0133327937352428,-1.0139704812866952,-1.0156386228350789,-0.6773114661998534,45.8
2020-10-15 23:00:00,-1.016026391127926,-1.0166145010326428,-1.0387354733310659,0.7132874297964005,42.999
2020-10-16 00:00:00,-1.037390992669893,-1.0344104964000658,-1.0445505550029572,0.2421385019801837,42.73
2020-10-16 01:00:00,-1.0393939240644523,-1.0324558915448954,-1.0407205413716714,-0.25083080797419993,43.79
2020-10-16 02:00:00,-1.031458939152673,-1.0324558915448954,-1.0332551286228842,-0.2407305911356034,43.719
