datetime,open,high,low,close,volume
2020-10-15 03:00:00,-1.079087064388091,-1.0244638894947193,-1.1156346033788784,47.099,0.37291034469199696
2020-10-15 04:00:00,-1.1119089935480782,-1.1073581207329122,-1.1177782800494902,47.486,-0.41751105150780143
2020-10-15 05:00:00,-1.1093941353710377,-1.0936720468276528,-1.108020325312296,49.0,-0.3193007695377759
2020-10-15 06:00:00,-1.0974940082742597,-1.0955417290551472,-1.0989385123206714,49.031,-0.6587527413151724
2020-10-15 07:00:00,-1.0963577771701751,-1.097695602981221,-1.0989385123206714,49.0,-0.5318830844856698
2020-10-15 08:00:00,-1.0982439208029553,-1.0959156655006463,-1.1036254039660953,48.654,-0.6528533623219156
2020-10-15 09:00:00,-1.1019934834464342,-1.1018986486286286,-1.1214432756476331,46.121,-0.2589375941355406
2020-10-15 10:00:00,-1.1187036555505032,-1.114081498022982,-1.130409837205354,44.668,-0.06437240484314442
2020-10-15 11:00:00,-1.1306037826472815,-1.121148896842911,-1.1313472155344388,45.871,-0.25755720584104475
2020-10-15 12:00:00,-1.1211957891054618,-1.1031251601698648,-1.1205289476053293,47.246,-0.24896875510873304
2020-10-15 13:00:00,-1.1107803373180207,-1.1063559710589752,-1.1162876948376668,47.047,-0.18372853097944303
2020-10-15 14:00:00,-1.1127725291871824,-1.1123389541869573,-1.115150547356482,47.0,-0.615742046353414
2020-10-15 15:00:00,-1.1111212066492462,-1.1066027691130045,-1.1120771757857122,47.297,-0.6107669046456913
2020-10-15 16:00:00,-1.1103940187426322,-1.1119799751992783,-1.1186080903735982,46.088,-0.6289916853087437
2020-10-15 17:00:00,-1.1195747660636346,-1.106729907504474,-1.1198451224308328,46.484,-0.6501000452751797
2020-10-15 18:00:00,-1.116544816452743,-1.1130643908912252,-1.1164874639897668,46.976,-0.7155506284960924
2020-10-15 19:00:00,-1.112825553305373,-1.1067523436912041,-1.111800572344343,47.462,-0.7124482981160482
2020-10-15 20:00:00,-1.1087048218345599,-1.1074628229376517,-1.11608024225664,47.104,-0.6808024022700532
2020-10-15 21:00:00,-1.111242404633682,-1.1104692719594629,-1.1215047430790486,46.026,-0.6025890084703011
2020-10-15 22:00:00,-1.1190672495038103,-1.1198924703860347,-1.1211897224930447,45.8,-0.7223654798127321
2020-10-15 23:00:00,-1.121726030287368,-1.1225025467756171,-1.1439864561192299,42.999,0.6518912574372788
2020-10-16 00:00:00,-1.1428144795791761,-1.1400700809851547,-1.1497259775276423,42.73,0.18627921778749384
2020-10-16 01:00:00,-1.144791521700283,-1.1381405689263806,-1.1459457304955956,43.79,-0.3008967733720199
2020-10-16 02:00:00,-1.1369591019561274,-1.1381405689263806,-1.1385773221546749,43.719,-0.2909152531233769
2020-10-16 03:00:00,-1.1375878165003874,-1.1388360907150084,-1.1481969751711845,43.474,-0.2463801074573011
2020-10-16 04:00:00,-1.1396860566059301,-1.1390454951244877,-1.1601062900079173,41.0,-0.026056652533113168
2020-10-16 05:00:00,-1.1573355130893759,-1.1499494818752352,-1.158715589372144,42.221,-0.5441972035978033
2020-10-16 06:00:00,-1.1489577024152595,-1.1491866515264173,-1.1542438337366738,41.426,-0.6431657480381638
2020-10-16 07:00:00,-1.1546843071798452,-1.1520659621567588,-1.1657766605559876,41.786,0.17710715111791855
2020-10-16 08:00:00,-1.1534117283432708,-1.1463896069140858,-1.1527071479512891,42.676,-0.44879823661555507
2020-10-16 09:00:00,-1.1458292794420135,-1.145679127667638,-1.1531912039736851,41.986,-0.5557269518417052
2020-10-16 10:00:00,-1.1506317495752774,-1.1516172384221603,-1.1556575846592279,41.556,-0.610593750021071
2020-10-16 11:00:00,-1.1545025102031918,-1.1522155367349585,-1.1586618053696554,41.365,-0.5134946601143735
2020-10-16 12:00:00,-1.1553433212202142,-1.153000803270506,-1.1570021847214398,41.763,-0.6276365662136404
2020-10-16 13:00:00,-1.1523133716093223,-1.1518939513918296,-1.1532910885497352,41.961,-0.6767839468566785
2020-10-16 14:00:00,-1.1511241163870474,-1.149687726363386,-1.1528761833876813,41.743,-0.6925514610562851
2020-10-16 15:00:00,-1.152631516318466,-1.1528736648790363,-1.1557113686617164,41.676,-0.6917181369419977
2020-10-16 16:00:00,-1.152957235901637,-1.1534270908183748,-1.1568638830007552,41.271,-0.750290555981372
2020-10-16 17:00:00,-1.155790238787821,-1.1568074762856848,-1.1603752100203597,40.835,-0.6605973928708339
2020-10-16 18:00:00,-1.159244381344238,-1.1591333609766878,-1.162249966678529,40.873,-0.6627037811154073
2020-10-16 19:00:00,-1.1598276466443345,-1.160090638277165,-1.1666372045958031,39.889,-0.5684044439059901
2020-10-16 20:00:00,-1.1671904241988018,-1.1583331369833203,-1.1672441954810302,41.1,-0.5924324687114736
2020-10-16 21:00:00,-1.1577521311608736,-1.1579068494354514,-1.162995259284441,40.477,-0.7536701948447877
2020-10-16 22:00:00,-1.1620546596083399,-1.162738108311297,-1.1704712356303386,39.658,-0.610994420684503
2020-10-16 23:00:00,-1.169440161784889,-1.1682798464335904,-1.1720693888471387,39.461,-0.6618169347854321
2020-10-17 00:00:00,-1.1704324702824562,-1.1711965507084818,-1.178876906876394,38.664,-0.5139409272298462
2020-10-17 01:00:00,-1.1758485052119256,-1.1723931473340783,-1.1759495204552355,39.203,-0.6579545702937669
2020-10-17 02:00:00,-1.171576276260568,-1.1532401225956252,-1.171331779670154,41.231,-0.1466277516143782
2020-10-17 03:00:00,-1.157312788467294,-1.1581760836762105,-1.1604827780253366,40.9,-0.7096705510684235
2020-10-17 04:00:00,-1.1589489612571757,-1.1598288827653156,-1.1627417061298524,40.477,-0.7354395397922084
2020-10-17 05:00:00,-1.1624637028058105,-1.1624838315283579,-1.163579199882887,40.51,-0.7700404400586893
2020-10-17 06:00:00,-1.1618046887654414,-1.1624838315283579,-1.166229982862676,40.25,-0.6781088548056444
2020-10-17 07:00:00,-1.1637741560125212,-1.15167706825344,-1.164086306192064,41.85,-0.6615660144327917
2020-10-17 08:00:00,-1.1522451977430774,-1.152724090300837,-1.1557190520906435,41.389,-0.6899237440522868
2020-10-17 09:00:00,-1.1551463744955062,-1.1561717843283366,-1.158423619072921,41.058,-0.74946627656207
2020-10-17 10:00:00,-1.1573279382153485,-1.151377919097041,-1.1566333801329474,42.03,-0.7135695605614221
2020-10-17 11:00:00,-1.150290880244052,-1.142366050760518,-1.1494954746598345,42.779,-0.416463545286485
